run	render_time_s	frames	fps_effective	peak_mem_mb	status	description
1	47.689	600	12.58	41.3	keep	baseline
2	47.773	600	12.56	41.3	discard	CDP captureScreenshot instead of page.screenshot
3	47.651	600	12.59	42.6	discard	CDP captureScreenshot instead of page.screenshot
