run	render_time_s	frames	fps_effective	peak_mem_mb	status	description
1	3.614	150	41.51	63.2	keep	baseline
2	2.785	150	53.85	63.2	keep	baseline
3	2.791	150	53.74	63.2	keep	baseline
4	2.727	150	55.01	63.3	keep	baseline
5	2.955	150	50.76	63.2	discard	PERF-594: Inline writerWaiterResolve Wakeup into Promise Chain in CaptureLoop
6	2.846	150	52.70	63.1	discard	PERF-594: Inline writerWaiterResolve Wakeup into Promise Chain in CaptureLoop
7	2.994	150	50.10	63.1	discard	PERF-594: Inline writerWaiterResolve Wakeup into Promise Chain in CaptureLoop
