run	render_time_s	frames	fps_effective	peak_mem_mb	status	description
1	3.017	150	49.71	63.0	discard	eager current time update
2	2.499	150	60.03	63.1	discard	eager current time update
3	2.558	150	58.65	63.0	discard	eager current time update
4	2.475	150	60.61	62.9	discard	eager current time update
5	2.458	150	61.03	63.1	discard	eager current time update
